method,L_hat,num_samples,seed,eps_q,eps_f_scaled,I_max_scaled,F_max_scaled,mean_abs_dq,max_abs_dq,median_abs_dq,q90_abs_dq,q95_abs_dq,q99_abs_dq,viol_rate_abs,viol_rate_plus,viol_rate_minus,max_observed_df,mean_observed_df
vanilla,54.05137635297072,50000,0,0.2,1.0,1.0,2.0,16.426337183227538,60.74427032470703,14.29134750366211,33.621525573730466,39.186932182312,48.17325004577638,0.99172,0.49594,0.49578,0.9999918937683105,0.8077592553430796
sn_only,0.5000039041057605,50000,1,0.2,1.0,1.0,2.0,0.20776768405914306,0.5725364685058594,0.1900157928466797,0.409710693359375,0.45353450775146475,0.5123978996276856,0.47652,0.23866,0.23786,0.9999871253967285,0.8080030652573704
fgsm_only,0.43530487776523097,50000,2,0.2,1.0,1.0,2.0,0.014842979095727205,0.09727860614657402,0.012307483702898026,0.031069469451904294,0.03724551601335403,0.0502761645056308,0.0,0.0,0.0,0.9999794363975525,0.8082637036770582
random_only,97.19273686739312,50000,3,0.2,1.0,1.0,2.0,1.0010847644042968,4.8192138671875,0.47626495361328125,2.8925186157226555,3.459392166137695,4.2221839904785154,0.5671,0.2284,0.3387,0.9999994039535522,0.809105340732038
full,0.500001341104582,50000,4,0.2,1.0,1.0,2.0,0.059696617527008056,0.15874290466308594,0.05389261245727539,0.12004756927490234,0.13278970718383787,0.1489344120025635,0.0,0.0,0.0,0.999993085861206,0.8083301753646135
