method,L_hat,num_samples,seed,eps_q,eps_f_scaled,I_max_scaled,F_max_scaled,mean_abs_dq,max_abs_dq,median_abs_dq,q90_abs_dq,q95_abs_dq,q99_abs_dq,viol_rate_abs,viol_rate_plus,viol_rate_minus,max_observed_df,mean_observed_df
vanilla,74.51774445025116,50000,0,0.2,1.0,1.0,2.0,25.667402258834837,121.52552795410156,22.019126892089844,52.35240325927733,61.942644500732406,79.60253082275405,0.99502,0.50056,0.49446,0.9999918937683105,0.8077592553430796
sn_only,0.5000005066393776,50000,1,0.2,1.0,1.0,2.0,0.20821944408416748,0.5429086685180664,0.19045209884643555,0.4120019912719727,0.4521583080291748,0.49522323608398444,0.47858,0.24016,0.23842,0.9999871253967285,0.8080030652573704
fgsm_only,0.43530487776523097,50000,2,0.2,1.0,1.0,2.0,0.014842979095727205,0.09727860614657402,0.012307483702898026,0.031069469451904294,0.03724551601335403,0.0502761645056308,0.0,0.0,0.0,0.9999794363975525,0.8082637036770582
random_only,93.62910196661802,50000,3,0.2,1.0,1.0,2.0,1.1128780181884765,5.8975677490234375,0.5061149597167969,3.244779968261718,3.8984542846679675,4.761867141723633,0.56656,0.22894,0.33762,0.9999994039535522,0.809105340732038
full,0.5010757511058705,50000,4,0.2,1.0,1.0,2.0,0.05896087507247925,0.15865039825439453,0.05310249328613281,0.11863260269165038,0.13158164024353025,0.14824296951293947,0.0,0.0,0.0,0.999993085861206,0.8083301753646135
